post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47704285,Clean code in the age of coding agents,technology,27,31,yanis_t,2026-04-09 15:29:19,1.1071428571428572,False
47702541,A WebGPU Implementation of Augmented Vertex Block Descent,technology,49,2,juretriglav,2026-04-09 15:29:19,0.04,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,70,59,SirHound,2026-04-09 15:29:19,0.8309859154929577,False
47701233,Claude mixes up who said what,technology,273,258,sixhobbits,2026-04-09 15:29:19,0.9416058394160584,True
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,4,1,meryll_dindin,2026-04-09 15:29:19,0.2,False
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,68,86,kisamoto,2026-04-09 15:29:19,1.2463768115942029,False
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,369,41,WerWolv,2026-04-09 15:29:19,0.11081081081081082,True
47687273,Git commands I run before reading any code,technology,2146,459,grepsedawk,2026-04-09 15:29:19,0.21378667908709828,True
47704443,Study found that young adults have grown less hopeful and more angry about AI,technology,9,1,elsewhen,2026-04-09 15:29:19,0.1,False
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,316,56,chrsw,2026-04-09 15:29:19,0.17665615141955837,True
47696035,John Deere to pay $99M in right-to-repair settlement,technology,352,116,CharlesW,2026-04-09 15:29:20,0.3286118980169972,True
47700460,Ask HN: What are you building that's not AI related?,technology,64,94,meander_water,2026-04-09 15:29:20,1.4461538461538461,False
47689237,US cities are axing Flock Safety surveillance technology,technology,728,410,giuliomagnifico,2026-04-09 15:29:20,0.5624142661179699,True
47699814,Process Manager for Autonomous AI Agents,technology,54,13,ankitg12,2026-04-09 15:29:20,0.23636363636363636,False
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,391,184,nickvec,2026-04-09 15:29:20,0.46938775510204084,True
47656518,Your File System Is Already A Graph Database,technology,179,75,alxndr,2026-04-09 15:29:20,0.4166666666666667,False
47679121,Project Glasswing: Securing critical software for the AI era,technology,1503,810,Ryan5453,2026-04-09 15:29:20,0.538563829787234,True
47700084,"Code Is Cheap Now, and That Changes Everything",technology,52,48,v-mdev,2026-04-09 15:29:20,0.9056603773584906,False
47674606,Show HN: Unicode Steganography,technology,54,13,PatrickVuscan,2026-04-09 15:29:20,0.23636363636363636,False
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,8,2,bjord,2026-04-09 15:29:20,0.2222222222222222,False
47698067,You Can Just Print an Air Purifier,technology,30,3,zdw,2026-04-09 15:29:20,0.0967741935483871,False
47703498,White-Collar Workers Are Rebelling Against AI – 80% Refuse Adoption Mandates,technology,11,4,sarimkx,2026-04-09 15:29:20,0.3333333333333333,False
47692661,Show HN: TUI-use: Let AI agents control interactive terminal programs,technology,48,37,dreamsome,2026-04-09 15:29:20,0.7551020408163265,False
47685945,We moved Railway's frontend off Next.js. Builds went from 10+ mins to under 2,technology,211,201,bundie,2026-04-09 15:29:20,0.9481132075471698,True
47701971,AI and remote work is a disaster for junior software engineers,technology,15,6,gpi,2026-04-09 15:29:20,0.375,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,372,354,chabons,2026-04-09 15:29:23,0.9490616621983914,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,612,257,zixuanlimit,2026-04-09 15:29:34,0.4192495921696574,True
47680124,IPv6 is the only way forward,worldnews,100,302,quaintdev,2026-04-09 15:29:39,2.99009900990099,False
47656682,Winners of the 2026 Kokuyo Design Awards,worldnews,55,18,zdw,2026-04-09 15:29:39,0.32142857142857145,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,113,26,rryan,2026-04-09 15:29:39,0.22807017543859648,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,121,19,ductionist,2026-04-09 15:29:40,0.1557377049180328,False
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,323,160,Bender,2026-04-09 15:29:41,0.49382716049382713,True
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,317,90,player_piano,2026-04-09 15:29:41,0.2830188679245283,True
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,27,1,ibobev,2026-04-09 15:29:41,0.03571428571428571,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,977,621,zaikunzhang,2026-04-09 15:29:42,0.6349693251533742,True
47683613,ICE acknowledges it is using powerful spyware,worldnews,68,8,dnemmers,2026-04-09 15:29:42,0.11594202898550725,False
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,31,11,brene,2026-04-09 15:29:42,0.34375,False
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,36,23,beardyw,2026-04-09 15:29:43,0.6216216216216216,False
47697980,"Account Verification for Windows Hardware Program Begins October 16, 2025",worldnews,5,0,TiredOfLife,2026-04-09 15:29:45,0.0,False
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,12,0,hn_acker,2026-04-09 15:29:45,0.0,False
47663743,"Show HN: Moon simulator game, ray-casting",sports,63,14,JKCalhoun,2026-04-09 15:29:51,0.21875,False
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,105,30,pruz,2026-04-09 15:29:52,0.2830188679245283,False
47654629,The Harvard Library Passport,sports,40,15,fi-le,2026-04-09 15:29:58,0.36585365853658536,False
47672778,Breaking the console: a brief history of video game security,sports,95,26,sprado,2026-04-09 15:29:58,0.2708333333333333,False
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09 15:29:59,0.30297397769516726,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-09 15:29:59,0.6233766233766234,True
47637377,LÖVE: 2D Game Framework for Lua,sports,414,217,cl3misch,2026-04-09 15:30:00,0.5228915662650603,True
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 15:30:07,0.23529411764705882,False
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,222,148,pseudolus,2026-04-09 15:30:08,0.6636771300448431,True
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09 15:30:09,0.9538461538461539,False
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 15:30:09,0.3,False
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-09 15:30:09,0.16,False
47622717,Study investigates how mass distribution of baseball bat affects performance,science,24,17,Magi604,2026-04-09 15:30:18,0.68,False
47627217,Running out of disk space in production,science,218,127,romes,2026-04-09 15:30:23,0.5799086757990868,True
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 15:30:29,0.11891891891891893,False
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-09 15:30:30,0.0,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-09 15:30:30,0.5470085470085471,False
47648404,My Google Workspace account suspension,science,369,221,zenincognito,2026-04-09 15:30:33,0.5972972972972973,True
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 15:30:33,0.0,False
47629485,A case study in testing with 100+ Claude agents in parallel,science,67,54,thejash,2026-04-09 15:30:33,0.7941176470588235,False
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09 15:30:34,0.2,False
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,109,36,willmeyers,2026-04-09 15:30:42,0.32727272727272727,False
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,17,15,behat,2026-04-09 15:30:42,0.8333333333333334,False
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,52,DamnInteresting,2026-04-09 15:30:42,0.4369747899159664,False
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,59,17,meribold,2026-04-09 15:30:42,0.2833333333333333,False
47696562,Show HN: Is Hormuz open yet?,entertainment,428,182,anonfunction,2026-04-09 15:30:43,0.42424242424242425,True
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,124,142,latchkey,2026-04-09 15:30:43,1.136,False
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,59,11,rvitorper,2026-04-09 15:30:43,0.18333333333333332,False
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,53,24,vkatluri,2026-04-09 15:30:43,0.4444444444444444,False
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,57,indraneelpatil,2026-04-09 15:30:43,0.5377358490566038,False
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,234,sam-bee,2026-04-09 15:30:44,0.30115830115830117,True
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,283,66,frasermarlow,2026-04-09 15:30:44,0.2323943661971831,True
